Rank,Players,Total_FPTS,Average_FPTS
372,Elic AyomanorTenWR,52.2,3.1
373,Tim PatrickDetWR,49.1,2.9
374,Robert WoodsPitWR,47.1,2.8
375,Scott MatlockLACRB,8.0,0.5
376,Chimere DikeTenWR,45.4,2.7
377,Elijah MooreBufWR,45.2,2.7
378,Troy FranklinDenWR,45.2,2.7
379,Mack HollinsNEWR,43.3,2.5
380,Roman WilsonPitWR,43.1,2.5
381,Jaylin LaneWshWR,40.4,2.4
382,Jalen NailorMinWR,40.4,2.4
383,Jermaine BurtonCinWR,39.3,2.3
384,Luke McCaffreyWshWR,37.8,2.2
385,Devaughn VeleDenWR,37.4,2.2
386,Dont'e Thornton Jr.LVWR,37.2,2.2
387,Josh WhyleTenTE,35.8,2.1
388,Drew SampleCinTE,30.5,1.8
389,Tanner HudsonCinTE,30.2,1.8
390,Zay JonesAriWR,30.1,1.8
391,Julian HillMiaTE,30.0,1.8
392,Adam TrautmanDenTE,29.4,1.7
393,Luke SchoonmakerDalTE,29.0,1.7
394,Tai FeltonMinWR,28.2,1.7
395,Oronde Gadsden IILACTE,28.2,1.7
396,Kendrick BourneNEWR,27.4,1.6
397,Kalif RaymondDetWR,27.1,1.6
398,Gunnar HelmTenTE,27.0,1.6
399,KhaDarel HodgeAtlWR,26.1,1.5
400,Jahan DotsonPhiWR,25.8,1.5
