Rank,Total_FPTS,Average_FPTS,Player,Team,Position
382,40.4,2.4,Jalen Nailor,MIN,WR
383,39.3,2.3,Jermaine Burton,CIN,WR
384,37.8,2.2,Luke McCaffrey,WSH,WR
385,37.4,2.2,Devaughn Vele,DEN,WR
386,37.2,2.2,Dont'e Thornton Jr.,LV,WR
387,35.8,2.1,Josh Whyle,TEN,TE
388,30.5,1.8,Drew Sample,CIN,TE
389,30.2,1.8,Tanner Hudson,CIN,TE
390,30.1,1.8,Zay Jones,ARI,WR
391,30.0,1.8,Julian Hill,MIA,TE
392,29.4,1.7,Adam Trautman,DEN,TE
393,29.0,1.7,Luke Schoonmaker,DAL,TE
394,28.2,1.7,Tai Felton,MIN,WR
395,28.2,1.7,Oronde Gadsden II,LAC,TE
396,27.4,1.6,Kendrick Bourne,NE,WR
397,27.1,1.6,Kalif Raymond,DET,WR
398,27.0,1.6,Gunnar Helm,TEN,TE
399,26.1,1.5,KhaDarel Hodge,ATL,WR
400,25.8,1.5,Jahan Dotson,PHI,WR
